class;question
RES;What country is Sitecore from?
RES;Give me the birth place of Frank Sinatra.
BOOL;Is Christian Bale starring in Velvet Goldmine?
RES;Who is the son of Sonny and Cher?
NUM;How many ethnic groups live in Slovenia?
RES;What is the capital of Cameroon?
BOOL;Was Natalie Portman born in the United States?
NUM;How many pages does War and Peace have?
RES;Who is the oldest child of Meryl Streep?
RES;Which television shows were created by Walt Disney?
RES;What does IYCM stand for?
RES;Which types of grapes grow in Oregon?
BOOL;Was U.S. president Jackson involved in a war?
NUM;When was the Titanic completed?
BOOL;Did Tesla win a nobel prize in physics?
NUM;How many states are in Mexico?
RES;Which scientist is known for the Manhattan Project and the Nobel Peace Prize?
NUM;How much did the Lego Movie cost?
RES;Who composed the music for Harold and Maude?
RES;List all episodes of the first season of the HBO television series The Sopranos.
RES;Which city has the least inhabitants?
RES;Where is Syngman Rhee buried?
BOOL;Does Neymar play for Real Madrid?
RES;Who wrote the book The Pillars of the Earth?
BOOL;Do Prince Harry and Prince William have the same parents?
RES;Who was the doctoral supervisor of Albert Einstein?
BOOL;Does Breaking Bad have more episodes than Game of Thrones?
RES;Who was Vincent van Gogh inspired by?
RES;Which building after the Burj Khalifa has the most floors?
RES;What was the final result of the War of the Roses?
NUM;How much did Pulp Fiction cost?
BOOL;Is proinsulin a protein?
BOOL;Do Urdu and Persian have a common root?
RES;Who is starring in Spanish movies produced by Benicio del Toro?
BOOL;Is Lake Baikal bigger than the Great Bear Lake?
RES;Show me all books in Asimov's Foundation series.
RES;Where was Bach born?
RES;Which city has the oldest running metro?
RES;Who designed the Brooklyn Bridge?
NUM;How many people live in Eurasia?
RES;Who is the host of the BBC Wildlife Specials?
NUM;What is the total population of Melbourne, Florida?
RES;What country is Mount Everest in?
RES;To which artistic movement did the painter of The Three Dancers belong?
NUM;When did Operation Overlord commence?
RES;What is the bridge with the longest span?
BOOL;Is there a video game called Battle Chess?
RES;Who was buried in the Great Pyramid of Giza?
BOOL;Does the Ford Motor Company have a manufacturing plant in Malaysia?
BOOL;Did Socrates influence Aristotle?
NUM;How many children did Benjamin Franklin have?
NUM;How tall is Michael Jordan?
RES;In which UK city are the headquarters of the MI6?
RES;Who created Family Guy?
RES;In which city does the Chile Route 68 end?
RES;Give me the grandchildren of Elvis Presley.
NUM;When did the Ming dynasty dissolve?
RES;In which military conflicts did Lawrence of Arabia participate?
RES;What is the timezone in San Pedro de Atacama?
RES;Give me all books by William Goldman with more than 300 pages.
RES;What did Bruce Carver die from?
RES;Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?
BOOL;Does Abraham Lincoln's death place have a website?
BOOL;Did Elvis Presley have children?
BOOL;Is Michelle Obama the wife of Barack Obama?
RES;In which city does Sylvester Stallone live?
RES;Which books by Kerouac were published by Viking Press?
RES;Who wrote the song Hotel California?
RES;What is the capital of Canada?
RES;Who is the mayor of Tel Aviv?
RES;What form of government does Russia have?
RES;Show me the book that Muhammad Ali wrote.
RES;Who was the first to climb Mount Everest?
NUM;How many languages are spoken in Colombia?
RES;What is the currency of the Czech Republic?
RES;Where in France is sparkling wine produced?
NUM;When did Boris Becker end his active career?
RES;Which movies starring Mickey Rourke were directed by Guy Ritchie?
RES;In which films did Julia Roberts as well as Richard Gere play?
RES;Show me Hemingway's autobiography.
NUM;How tall is Amazon Eve?
RES;What are the five boroughs of New York?
RES;Give me all Canadian Grunge record labels.
RES;In which country does the Ganges start?
RES;Who is the founder of Penguin Books?
RES;Who wrote the Game of Thrones theme?
RES;Who is the president of Eritrea?
RES;In which city did John F. Kennedy die?
RES;What is the highest mountain in Australia?
RES;Who writes the Farmers' Almanac?
RES;Give me the currency of China.
RES;Give me all Swedish oceanographers.
RES;In which city are the headquarters of the United Nations?
BOOL;Is Rita Wilson the wife of Tom Hanks?
RES;In which countries do people speak Japanese?
RES;Which of Tim Burton's films had the highest budget?
RES;Which museum in New York has the most visitors?
RES;What was the first Queen album?
RES;What was the first name of the band Queens of the Stone Age?
RES;What was the last movie with Alec Guinness?
RES;Give me all actors starring in Last Action Hero.
RES;Who discovered Pluto?
