predicate;question
http://purl.org/linguistics/gold/hypernym;What was the release type of the misery index: notes from the plague years
http://dbpedia.org/ontology/country;what area is wainganga college of engineering and management within
http://dbpedia.org/ontology/instrument;who is an instrumentalist that plays the guitar
http://dbpedia.org/ontology/author;Who wrote the book the city in the autumn stars
http://dbpedia.org/ontology/parent;Who was a parent of john of gaunt, 1st duke of lancaster
http://dbpedia.org/ontology/hometown;what is the origin of the artist 33a?
http://dbpedia.org/ontology/position;leo durocher is what in relation to baseball?
http://dbpedia.org/ontology/genre;What genre is the tv program code lyoko
http://dbpedia.org/ontology/nationality;Where is frederick baldwin adams from?
http://dbpedia.org/ontology/isPartOf;what is located in the united states?
http://dbpedia.org/ontology/programmeFormat;What is the format of the radio station ckpr-fm?
http://xmlns.com/foaf/0.1/gender;what is joshua smith's gender
http://dbpedia.org/ontology/recordLabel;What label is rapture ruckus  signed to
http://dbpedia.org/ontology/director;Which film did rob schmidt direct?
http://dbpedia.org/ontology/birthPlace;Name a person born in montilla
http://dbpedia.org/ontology/director;who was the director of mr. hankey's christmas classics
http://dbpedia.org/ontology/genre;What's an example of a psychedelic rock album
http://dbpedia.org/ontology/birthPlace;who is someone that was born in  fairfax
http://dbpedia.org/ontology/genre;What is an example of a funk album?
http://dbpedia.org/ontology/birthPlace;Where is ottilie assing from?
http://dbpedia.org/ontology/region;what country is  taketomi apart of
http://dbpedia.org/ontology/hometown;What is wipers's orgin
http://dbpedia.org/ontology/deathPlace;where did  elmer verner mccollum pass away
http://dbpedia.org/ontology/language;Which language do azerbaijanis in the united kingdom speak
http://dbpedia.org/ontology/isPartOf;Name a location within australia
http://dbpedia.org/ontology/birthPlace;Name someone who was born in mytilene
http://dbpedia.org/ontology/deathCause;who was an actress died from breast cancer
http://dbpedia.org/ontology/series;Which series has a pilot episode?
http://dbpedia.org/ontology/artist;What's an album featuring marty robbins
http://dbpedia.org/ontology/genre;which type of music genre does carlos johnson play in?
http://dbpedia.org/ontology/birthPlace;Which town was thomas sully born?
http://dbpedia.org/ontology/cinematography;which documentary did d. a. pennebaker provide the cinematography?
http://dbpedia.org/ontology/position;What position does kelly shoppach play in baseball
http://purl.org/linguistics/gold/hypernym;what is pierre rameau a notable example of?
http://dbpedia.org/ontology/artist;what track is by edgar broughton band?
http://dbpedia.org/ontology/writer;What was the film story credits done by dean koontz
http://purl.org/linguistics/gold/hypernym;what is politician is founder and chairperson of Queens University, Bangladesh
http://dbpedia.org/ontology/religion;what is constance markiewicz's religion?
http://dbpedia.org/ontology/language;What language do most jewish american speak
http://dbpedia.org/ontology/child;who is the parent of bob woodward?
http://dbpedia.org/ontology/genre;what kind of game is knight lore
http://dbpedia.org/ontology/director;what film does gregory la cava direct?
http://dbpedia.org/ontology/genre;what artist makes celtic rock?
http://dbpedia.org/ontology/birthPlace;What is the place of barbara cook's birth?
http://dbpedia.org/ontology/isPartOf;marshallville, kentucky is an unincorporated community in what  state?
http://dbpedia.org/ontology/genre;What is the name of an interactive fiction game?
http://dbpedia.org/ontology/birthPlace;What is the nationality of antonio banderas
http://dbpedia.org/ontology/language;in what language was his majesty, the american filmed
http://xmlns.com/foaf/0.1/gender;is adario strange male or female
http://dbpedia.org/ontology/class;what are some examples of an automotive class of ford fusion?
http://dbpedia.org/ontology/birthPlace;Who is someone born in wittlich
http://dbpedia.org/ontology/deathCause;which historical figure was killed by smallpox
http://dbpedia.org/ontology/position;What is mark difelice position
http://purl.org/linguistics/gold/hypernym;Name an actor
http://dbpedia.org/ontology/birthPlace;which city was shmuel salant born
http://dbpedia.org/ontology/deathPlace;Which city did ronnie burns die in
http://dbpedia.org/ontology/occupation;Name an english civil engineer
http://dbpedia.org/ontology/isPartOf; which city is located in santa barbara county
http://dbpedia.org/ontology/occupation;what is the name of a professional  voice actor
http://dbpedia.org/property/namedFor;Who was towns county named after
http://dbpedia.org/ontology/country;where did the tv program your show time originate from?
http://dbpedia.org/ontology/isPartOf;where is szpiegowo located
http://dbpedia.org/ontology/birthPlace;what woman was born in okinawa prefecture
http://dbpedia.org/ontology/artist;what is a song by plastic ono band?
http://xmlns.com/foaf/0.1/gender;What is john moores's gender?
http://dbpedia.org/ontology/birthPlace;Who was born in diamond?
http://dbpedia.org/ontology/timeZone;What time zone does the chebanse township use
http://dbpedia.org/ontology/genre;Where kind of album is tet
http://dbpedia.org/ontology/position;What position does footballer erkan sulejmani play?
http://dbpedia.org/ontology/genre;what artist makes alternative metal?
http://dbpedia.org/ontology/artist;what is a song that obie trice plays
http://dbpedia.org/ontology/position;what is malik asselah's position in soccer?
http://dbpedia.org/ontology/cinematography;what film did peter menzies jr. do cinematography for
http://dbpedia.org/ontology/position;what position does marcell takacs play in soccer?
http://xmlns.com/foaf/0.1/gender;What is carlo boszhard's gender
http://dbpedia.org/ontology/genre;what island music does wyclef jean create
http://purl.org/linguistics/gold/hypernym;what British science fiction author and writer specializes in dark hard science fiction and space opera?
http://dbpedia.org/ontology/genre;"What type of film genre is ""World War II in HD Coulour""?"
http://dbpedia.org/ontology/author;what is one of terry carrs written works
http://dbpedia.org/ontology/birthPlace;Which famous cinematographer was born in los angeles?
http://dbpedia.org/ontology/type;What type of album is bill evans with symphony orchestra
http://dbpedia.org/ontology/ideology;what ideology does the democratic party follow?
http://dbpedia.org/ontology/writer;what did leonard cohen compose
http://dbpedia.org/ontology/location;what are tourist attractions in helsinki
http://dbpedia.org/ontology/hometown;What is steve walsh's nationality?
http://dbpedia.org/ontology/genre;which artist performs the alternative hip hop genre
http://dbpedia.org/ontology/citizenship;what is the nationality of georgius agricola
http://dbpedia.org/ontology/birthPlace;in what country was tonet born
http://dbpedia.org/ontology/genre;what kind of music is on on the beat!
http://purl.org/linguistics/gold/hypernym;What is Ahmed Marcouch's profession?
http://dbpedia.org/ontology/birthPlace;Name someone who was born in windsor.
http://dbpedia.org/ontology/position;Which position did stratos apostolakis play?
http://purl.org/linguistics/gold/hypernym;what is the profession of richard parnell habersham
http://dbpedia.org/property/studio;WHich production company did the jerky boys: the movie
http://dbpedia.org/ontology/religion;what religion is vinny demacedo a part of
http://dbpedia.org/ontology/recordLabel;Who is an artist from the spv gmbh record label
http://dbpedia.org/ontology/isPartOf;Where is giddaluru located
http://dbpedia.org/ontology/birthPlace;who is  a person that was born in  heligoland
http://dbpedia.org/ontology/birthPlace;what musician was born in osaka
http://dbpedia.org/ontology/birthPlace;Where was victor basa born
http://dbpedia.org/ontology/position;what position did hayato yano play?
http://dbpedia.org/ontology/deathPlace;Where was kevin mccarthy (actor)'s place of death?
http://dbpedia.org/ontology/type;What type of album is mission to please
http://dbpedia.org/ontology/position;what is the position played by barbara turner
http://dbpedia.org/ontology/literaryGenre;what type of book is death du jour
http://dbpedia.org/ontology/country;Where is newton college
http://purl.org/linguistics/gold/hypernym;what type of celestial object is 1933 tinchen
http://dbpedia.org/ontology/deathPlace;Where did kurt bolender pass away
http://dbpedia.org/ontology/genre;what genre is they came from the sun?
http://dbpedia.org/ontology/genre;what type of show is manimal
http://dbpedia.org/ontology/genre;what is an alternative rock album?
http://dbpedia.org/ontology/battle;in which conflict did rudolf brehmer participate
http://dbpedia.org/property/areas;what is a cyclone that affected haiti
http://dbpedia.org/ontology/deathPlace;where did valerie solanas pass away
http://dbpedia.org/ontology/genre;what kind of music does vulfpeck sing?
http://dbpedia.org/ontology/director;what's the title of a hrishikesh mukherjee film
http://purl.org/linguistics/gold/hypernym;What profession is chandler beach
http://purl.org/linguistics/gold/hypernym;What designation is used for the colorado state highway 470?
http://dbpedia.org/ontology/genre;What's a country album by johnny cash
http://dbpedia.org/ontology/deathCause;which johnny died from cancer
http://dbpedia.org/ontology/location;what is a tourist attraction in santiago de cuba
http://dbpedia.org/ontology/genre;What is a South Korean romance film from 2011?
http://dbpedia.org/ontology/isPartOf;What's a museum within indiana
http://dbpedia.org/property/religion;which religion is alfonso, duke of anjou and cadiz
http://dbpedia.org/ontology/producer;what is a movie produced by haruki kadokawa
http://dbpedia.org/ontology/isPartOf;where is tip top located
http://dbpedia.org/ontology/producer;what film did anil sharma produce
http://purl.org/linguistics/gold/hypernym;How was danger in the past released
http://dbpedia.org/ontology/type;what type of school is tisch school of the arts
http://dbpedia.org/ontology/birthPlace;What city was buster rhymes born in?
http://xmlns.com/foaf/0.1/gender;what's joe cusack's gender
http://dbpedia.org/ontology/isPartOf;what country would you find  butler township
http://dbpedia.org/ontology/genre;whats the name of a rock music musician
http://dbpedia.org/ontology/birthPlace;who is a person that was born in the americas
http://dbpedia.org/ontology/cinematography;who did the cinematography for the film cradle will rock
http://dbpedia.org/ontology/isPartOf;what is a city located in transnistria
http://dbpedia.org/ontology/artist;What is a song by the artist connie talbot
http://xmlns.com/foaf/0.1/gender;is sandro puppo male or female
http://dbpedia.org/ontology/genre;what's a jazz fusion by pierre moerlen's gong
http://dbpedia.org/ontology/timeZone;which time zone is guinea-bissau in?
http://dbpedia.org/ontology/position;What position does cem can play in soccer?
http://dbpedia.org/ontology/genre;What genre is the tv show nu, pogodi!?
http://dbpedia.org/ontology/location;where is will marion cook house located
http://dbpedia.org/ontology/birthPlace;Where in canada was christine sinclair born
http://dbpedia.org/ontology/director;who directed aaina?
http://dbpedia.org/ontology/deathPlace;which city did sergey yablonsky die
http://dbpedia.org/ontology/genre;What kind of music is rob townsend
http://dbpedia.org/ontology/artist;What's an album recorded by chuck berry
http://dbpedia.org/ontology/birthPlace;who was born in montclair
http://dbpedia.org/ontology/location;What city does kval-tv broadcast to
http://dbpedia.org/ontology/genre;What type of metal does dagoba perform
http://dbpedia.org/ontology/timeZone;what is located in the central european time zone?
http://dbpedia.org/ontology/genre;What is the name of a blues album
http://dbpedia.org/ontology/genre;What type of music is the album bare (annie lennox album)?
http://dbpedia.org/ontology/genre;What is an example of a racing game
http://dbpedia.org/ontology/programmingLanguage;What language was used to write minimo
http://purl.org/linguistics/gold/hypernym;what musical format was clandestine blaze / deathspell omega released in?
http://dbpedia.org/ontology/recordLabel;who is bernard fanning signed with
http://dbpedia.org/ontology/type;what is a comprehensive school?
http://dbpedia.org/ontology/influencedBy;whom did  maxim gorky influence
http://dbpedia.org/ontology/recordLabel;what label is the artist love affair apart of
http://dbpedia.org/ontology/genre;what type of music is on get ready?
http://dbpedia.org/ontology/genre;which game is produced by interactive fiction
http://dbpedia.org/ontology/position;What position does barry zito play?
http://purl.org/linguistics/gold/hypernym;what kind of show is city of angels?
http://dbpedia.org/ontology/director;what tv show episodes did david mirkin direct
http://dbpedia.org/ontology/author;what did michael baigent write
http://dbpedia.org/ontology/literaryGenre;whats the genre for the book titled shadows in flight
http://dbpedia.org/ontology/genre;what is the genre of the album in trance
http://dbpedia.org/ontology/developer;What is a game developed by gremlin interactive?
http://dbpedia.org/ontology/isPartOf;What is the name of a town located in california
http://dbpedia.org/ontology/genre;what what dream pop painted on
http://dbpedia.org/ontology/isPartOf;where is union point located in
http://dbpedia.org/ontology/birthPlace;where was  william mccutcheon born
http://dbpedia.org/ontology/genre;what type of album is hot! live and otherwise?
http://dbpedia.org/ontology/genre;What type of music genre is Aztec Camera?
http://dbpedia.org/ontology/genre;what kind of music does jason nevins play
http://dbpedia.org/ontology/birthPlace;Where does lord wind hail from?
http://dbpedia.org/ontology/genre;what are american country music bands
http://dbpedia.org/ontology/writer;Who composed the little queenie song?
http://dbpedia.org/ontology/language;what is the primary language of silent light
http://dbpedia.org/property/studio;What is the name of a film put out by disneytoon studios
http://dbpedia.org/ontology/position;what right handed baseball player was the braves' catcher
http://dbpedia.org/ontology/country;san rafael lagoon is located in what country?
http://dbpedia.org/ontology/genre;whirl tour is what type of video game?
http://dbpedia.org/ontology/writer;what song is andre 3000 compose?
http://dbpedia.org/ontology/director;which film was  makoto shinkai the director of
http://dbpedia.org/ontology/religion;what faith does fayez tarawneh follow
http://dbpedia.org/ontology/birthPlace;Who is an individual that was born in lublin
http://dbpedia.org/ontology/battle;which military conflict did archibald wavell, 1st earl wavell participate in
http://dbpedia.org/ontology/literaryGenre;what type of genre is the book the runaway jury
http://dbpedia.org/ontology/isPartOf;What attraction does the espaillat province contain
http://dbpedia.org/ontology/language;what language was wedge: the secret war between the fbi and cia originally in
http://xmlns.com/foaf/0.1/gender;What is the gender of susan herndon
http://dbpedia.org/ontology/writer;who wrote the enemy inside?
http://dbpedia.org/ontology/headquarter;which newspaper is released in new hampshire
http://dbpedia.org/ontology/deathPlace;what city was louis-gabriel-charles vicaire born
http://dbpedia.org/ontology/director;what is one of woody allen's many films
http://dbpedia.org/ontology/hometown;where did wax tailor start
http://dbpedia.org/ontology/birthPlace;who was born in haifa?
http://dbpedia.org/ontology/birthPlace;which country is angelica morrone di silvestri from
http://dbpedia.org/ontology/timeZone;what's the name of a town in the eastern daylight time zone
http://dbpedia.org/ontology/position;what position is lucas moura charged of
http://dbpedia.org/ontology/isPartOf;What's a place in canada
http://dbpedia.org/ontology/position;What position does raul gonzalez blanco play in football?
http://dbpedia.org/ontology/isPartOf;Name a place in north america.
http://dbpedia.org/ontology/deathPlace;where did kenneth j. warren die
http://purl.org/linguistics/gold/hypernym;what type of release is life enigma?
http://dbpedia.org/ontology/artist;judge jules  was the artist of what album
http://xmlns.com/foaf/0.1/gender;what is the sex of kumi naidoo
http://dbpedia.org/ontology/genre;what artist is from the genre chicago blues?
http://dbpedia.org/property/modes;what's a 2004 game that had a multiplayer program
http://dbpedia.org/ontology/creator;who created the character doll man
http://dbpedia.org/property/studio;What's a film from ecosse films
http://dbpedia.org/ontology/isPartOf;where is tomiya located
http://dbpedia.org/ontology/publisher;Who is the publisher on the videogame calling all cars!
http://dbpedia.org/ontology/recordLabel;who is an artist under decca records?
http://dbpedia.org/ontology/isPartOf;where in poland is opole located in?
http://dbpedia.org/ontology/genre;What genre of music is ozenise me muzikom?
http://dbpedia.org/ontology/birthPlace;what country is ruslan sviridov from
http://dbpedia.org/ontology/genre;what music genre is besoin?
http://dbpedia.org/property/constell;what constellation is hd 157819 in
http://purl.org/linguistics/gold/hypernym;how was far beyond driven released
http://dbpedia.org/ontology/deathPlace;where did jack soo die
http://dbpedia.org/ontology/location;where is the location the rotunda found
http://dbpedia.org/ontology/place;Where did the bombing of darwin take place?
http://xmlns.com/foaf/0.1/gender;Is vidhya unni a woman or man
http://purl.org/linguistics/gold/hypernym;how was krek released
http://dbpedia.org/ontology/producer;who was the executive producer of the film analyze this?
http://dbpedia.org/ontology/director;Name a film directed by phil joanou
http://dbpedia.org/ontology/recordLabel;Which music entertainment label is denny zeitlin under?
http://dbpedia.org/ontology/type;what is the release type of sir henry at rawlinson end?
http://dbpedia.org/ontology/birthPlace;where was christian fabrice okoua born
http://dbpedia.org/ontology/language;what language is the clergyman available in?
http://dbpedia.org/ontology/religion;What religion is dick dearden?
http://dbpedia.org/ontology/deathPlace;where did evelyn kozak pass away
http://dbpedia.org/ontology/position;which hockey players play defenceman (ice hockey)
http://purl.org/linguistics/gold/hypernym;Name a type of soft tissue disorder classification.
http://purl.org/linguistics/gold/hypernym;Which album was released as an album?
http://dbpedia.org/ontology/timeZone;What is a city located within north american central time zone
http://dbpedia.org/ontology/creator;Who created the program rescue me
http://dbpedia.org/ontology/birthPlace;who is a director born in london borough of hackney
http://dbpedia.org/ontology/writer;Who composed high school
http://purl.org/linguistics/gold/hypernym;What is the profession of friedrich kalkbrenner
http://dbpedia.org/ontology/isPartOf;Name a city in kentucky.
http://dbpedia.org/ontology/mountainRange;to what mountain range does stol belong
http://dbpedia.org/ontology/musicComposer;whose music is in the film door ki awaaz?
http://dbpedia.org/ontology/developer;who developed disney universe
http://dbpedia.org/ontology/isPartOf;Where in north america is iona located?
http://dbpedia.org/ontology/birthPlace;what's the name of a person born in tehran
http://dbpedia.org/ontology/distributor;what movie is produced by telefilm canada
http://xmlns.com/foaf/0.1/gender;what gender is ken jay?
http://dbpedia.org/ontology/type;which type of school is franklin high school
http://dbpedia.org/ontology/foundationPlace;Which city was susan g. komen for the cure founded in
http://dbpedia.org/ontology/type;what type of school is kamiak high school?
http://purl.org/linguistics/gold/hypernym;what did maureen flannigan do as a profession?
http://dbpedia.org/ontology/genre;what is a progressive rock artist?
http://dbpedia.org/ontology/artist;what track is produced by stan getz
http://dbpedia.org/ontology/genre;what kind of genre does jamie mallender perform
http://dbpedia.org/ontology/position;What football position does johan thorbjornsen fill
http://dbpedia.org/ontology/position;What football position does edelmiro arevalo play?
http://dbpedia.org/ontology/position;what position does damir kreilach play in football
http://dbpedia.org/ontology/genre;which rock music albums were released by bamboo manalac?
http://dbpedia.org/ontology/language;in what language is the film pasumpon in
http://dbpedia.org/ontology/timeZone;what time zone includes hudson falls, new york
http://dbpedia.org/ontology/hometown;where is daniel from
http://purl.org/linguistics/gold/hypernym;Which song that is composed by marvin gaye?
http://dbpedia.org/ontology/series;what videogame series is fire emblem: the sacred stones from
http://dbpedia.org/ontology/deathPlace;Where did george mardikian die?
http://dbpedia.org/ontology/field;What kind of art did robert motherwell make?
http://dbpedia.org/ontology/genre;Who's a alternative rock musician that plays for statye
http://dbpedia.org/ontology/recordLabel;what label is the artist  plastic crimewave from
http://purl.org/linguistics/gold/hypernym;what type of album is global underground 023: barcelona
http://dbpedia.org/ontology/isPartOf;what county is florence within
http://dbpedia.org/ontology/writer;What is a film written by thom fitzgerald?
http://dbpedia.org/ontology/owner;Name a radio station owned by womg
http://dbpedia.org/ontology/isPartOf;which US state is caspian in
http://dbpedia.org/ontology/nationality;ai fukuhara is a citizen of what nation?
http://dbpedia.org/ontology/genre;what kind of program is comedy central roast?
http://dbpedia.org/ontology/hometown;where in the united states was scott savol born at?
http://purl.org/linguistics/gold/hypernym;What is linda evans a notable example of
http://dbpedia.org/ontology/birthPlace;Name a person born in rome.
http://dbpedia.org/ontology/isPartOf;where is lamoille township located?
http://dbpedia.org/ontology/artist;what is a song by circahq
http://dbpedia.org/ontology/birthPlace;where did nick rhodes originate?
http://dbpedia.org/ontology/artist;Name an elvis presley album
http://xmlns.com/foaf/0.1/gender;what is sung hwan kim's gender
http://xmlns.com/foaf/0.1/gender;what is anthony dowell's gender?
http://dbpedia.org/ontology/timeZone;what is the time zone of pulteney, new york
http://dbpedia.org/ontology/genre;what kind of album is twice the speed of life
http://dbpedia.org/property/studio;what is a film produced by grosvenor park productions
http://dbpedia.org/ontology/parent;who were the children of henry iv of france?
http://dbpedia.org/ontology/genre;what kind of rock is rita redshoes classified as
http://dbpedia.org/ontology/religion;what religion does sigmund livingston follow
http://dbpedia.org/ontology/recordLabel;What label is the blow signed to?
http://dbpedia.org/ontology/artist;whats an example of an album by the artist  sherbet (band)
http://dbpedia.org/ontology/religion;to what church does melvin l. stukes belong
http://xmlns.com/foaf/0.1/gender;What gender is henry tazewell
http://dbpedia.org/ontology/genre;which artist performs progressive rock
http://dbpedia.org/ontology/religion;what religion does brad owen practice
http://dbpedia.org/ontology/birthPlace;what nationality is shyamaprasad
http://dbpedia.org/ontology/country;where is the shire of mornington
http://dbpedia.org/ontology/birthPlace;where was sadik hakim born?
http://dbpedia.org/ontology/headquarter;what los angeles area circulates the los angeles sentinel
http://dbpedia.org/ontology/location;What US state contains edward waldo house
http://dbpedia.org/ontology/deathCause;who died of heart failure
http://dbpedia.org/ontology/ethnicity;what is maria takagi's ethnicity?
http://dbpedia.org/ontology/writer;what's one film that chris noonan wrote
http://purl.org/linguistics/gold/hypernym;what is james adams's occupation
http://dbpedia.org/ontology/author;which book did jonathan tweet write
http://dbpedia.org/ontology/position;which position does khalil allawi play
http://dbpedia.org/ontology/birthPlace;Where was stephanie lawrence born?
http://dbpedia.org/ontology/birthPlace;in which city was phill wilson born
http://dbpedia.org/ontology/industry;What business operation does tekserve operate in
http://dbpedia.org/ontology/isPartOf;name a river in florida
http://dbpedia.org/ontology/publisher;who published theme park world
http://dbpedia.org/ontology/birthPlace;where was mehmed spaho born
http://dbpedia.org/ontology/literaryGenre;What genre is the book portraits in moonlight?
http://dbpedia.org/ontology/genre;What style of music is the genesi[s] album?
http://dbpedia.org/ontology/location;what school is located in west palm beach, florida?
http://dbpedia.org/ontology/position;What position did steve scheffler play
http://dbpedia.org/ontology/director;who directed balaraju katha?
http://dbpedia.org/ontology/country;which american city is indiana institute of technology located in?
http://dbpedia.org/ontology/deathPlace;Where did ted joans die?
http://purl.org/linguistics/gold/hypernym;how was the blue hearts no dekoboko chindochu released
http://dbpedia.org/ontology/genre;What type of music does scott weinrich write
http://dbpedia.org/ontology/recordLabel;What label did carmen record with
http://dbpedia.org/ontology/genre;Which genre of music is on the album titled underclass hero
http://dbpedia.org/ontology/birthPlace;Where was indila born
http://dbpedia.org/ontology/artist;what is a song by bonnie raitt
http://dbpedia.org/ontology/deathPlace;what is paul sorensen's place of birth
http://dbpedia.org/ontology/birthPlace;name a person who was born in belgrade.
http://dbpedia.org/ontology/genre;Name a rock band.
http://purl.org/linguistics/gold/hypernym;Name a guitarist.
http://dbpedia.org/ontology/genre;what type of television show is hell on wheels?
http://dbpedia.org/ontology/creator;which fictional character did nagaru tanigawa create
http://dbpedia.org/ontology/recordLabel;what company has joe leeway signed with?
http://dbpedia.org/ontology/genre;what type of must does dave brubeck play
http://dbpedia.org/ontology/influencedBy;Who did friedrich nietzsche influence?
http://dbpedia.org/ontology/recordLabel;Name an artist signed to Cleopatra Records
http://dbpedia.org/ontology/genre;what kind of music is alternate takes
http://dbpedia.org/ontology/genre;what was Suzi Quatro's sixth rock music album?
http://dbpedia.org/ontology/birthPlace;What is the origin of dolly parton?
http://dbpedia.org/ontology/genre;what musical genre is the album  bad timing
http://dbpedia.org/ontology/genre;is miki 1 j-pop or k-pop
http://dbpedia.org/ontology/artist;What is the name of an album from yello
http://dbpedia.org/ontology/birthPlace;what is the name of someone born in izmail
http://dbpedia.org/ontology/writer;who was the composer of  i cant explain
http://dbpedia.org/ontology/birthPlace;Who was born in daejeon?
http://dbpedia.org/ontology/artist;what album is produced by jimmy eat world
