class;question
BOOL;Do the polet airlines fly to moscow?
NUM;In how many nations can I find dishes made of Shallot?
RES;What is the mascot of the military unit of David Prowse?
BOOL;Does Cohoes a junction on the NY State Route 470?
NUM;How many other important things have been written by the creator of Stuart Alan Jones?
RES;What is the genre of the Band whose home town is County Westmeath?
RES;Which sports are played at institues in Taguig?
RES;Whose album is Haiti, I am sorry?
BOOL;Is Microsoft office written in C++
RES;Whose band members are known to play a PRS guitar?
RES;Which river's source place is Gloucestershire and mouth in North Sea?
RES;Name the commanders of military conflicts where Roundhead was one of the commander ?
RES;What are some short story kind of Books?
RES;What are the nicknames of the schools whose color is royal blue?
RES;To what political party do the politicians graduated from Somerville college, Oxford belong to?
RES;What awards did Jos Rivera (playwright) win?
RES;Which political figures were awarded Screen Actors Guild Life Achievement Award?
RES;What are the things whose director of photography died in United States?
RES;What is the Home Stadium of the Kenya national under-20 football team where Matin Suji was also born ?
RES;Name a company with key person as Dennis Muilenburg and Raymond Conner ?
RES;Which branch of american military have both George Siebels jr and Leroy Collins served?
RES;What are some scientists who have stateless citizenship?
RES;Name the regions served by Toll Global Express ?
RES;What is the protected area whose nearest city is Kenya?
NUM;Count the nearest city to the historic palce whose one of the nearest city is Wisconsin ?
NUM;Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot).
NUM;How many places were ruled by Elizabeth II?
RES;List the interest of the scientists whose one of the field is Chinese poetry ?
RES;Who was the narrator of the show who's music is composed by John Douglas?
RES;Which parent comapny of hypnotize Minds is the label of the Producers , a 2005 film ?
RES;Which college of Luke List (golfer) is the alma mater of K. Terry Dornbush
RES;Who is the fictional character who portrayed in Terminator 2: Judgment Day?
RES;Which team of Dan Shamash is also the debutant team of John Estes ?
RES;Where do employees of Deroit Red Wings live?
RES;What are some countries where companies headquartered in the Klang Valley operate?
BOOL;Did Chant Mas originate in West Africa?
RES;Name the river whose mouth country is Mozambique and source region is North-Western Province, Zambia?
NUM;Give me a count of bacterias which belongs to Bacilli class?
NUM;How many producers have worked for FremantleMedia productions?
RES;Who is on the board of Kate Spade and company?
RES;Which animator of Tommy Ticker's Tooth is also the director of The Haunted house ?
RES;Name the university whose athletic department is called National Collegiate Athletic Association and has a chancellor named Nicholas S. Zeppos?
RES;Name the common managing club of the Ivan Toplak and Bret Simon?
NUM;How many shows are made by Larry David?
RES;Martin AN/GSG-5 is a part of the building in which city?
NUM;How many architects are there who have made something used by Oakland athletics?
RES;In which company's boards does the founder of Bomis sit?
RES;What genre isPyChess from, which employes Craig Van Tilbury?
RES;Where is Ethiopian Parliament Building located ?
RES;Which are the cities on the river which also flows in Tukwila, Washington ?
RES;Which award is presented by Downtown Athletic Club?
RES;Who appointed Joseph Clay and William Cushing to their office?
RES;Who are the biological parents of Dannielynn Birkhead?
RES;List the awards won by the spouse of Harriet Andersson?
RES;Who was engaged in wars of Fort Gadsden and Fort Barrancas?
RES;Where are Solidus and Aureus used?
RES;Which company owns the airlines whose hub is in Dubai?
RES;Which appointer of William Clark is the successor of Levi Lincoln Sr ?
RES;Which company's division is Audi India? Correct Question
RES;What was the book that lead to Sagan's Cosmos, about?
RES;What is the nationality of the chancellor who was served by Michael Mayr?
RES;What is the official residence of the Helen Getachew which is also the palce of death of the Haile Selassie Gugsa ?
RES;Who built the Ford Y-block engine ?
BOOL;Does Gibby Haynes play the saxophone?
BOOL;Is The Orator in the National Archaeological Museum of Florence?
RES;What is the region of Lumberjack  ?
RES;Where did the president study, who's the president of Besiktas JK?
RES;Elizabeth Alexander and Jared Bernstein served under which Vice President?
NUM;How many awards have royal designers for industry awardwinners got?
RES;Where is the team of Abdel Boucker located ?
RES;For which other teams do members of tanzanian national football team play?
RES;What is the governing body of Burro Flats Painted Cave ?
BOOL;Did Hank Williams Jr. make Early in the Morning and Late at Night?
RES;What are some cartoons distributed by a subsidiary of Time Warner?
RES;Whose famous works have been illustrated by E W Kemble?
RES;Who was once married to both Kelly Brook and Rosie Huntington-Whiteley?
RES;Which Fox  show is presented by Ryan Seacrest?
RES;Where did george f hoar and willian langer spend the most important time of their political career?
NUM;How many TV show has distributor located in Burbank California ?
RES;List the ceremonial county of East Tilbury ?
RES;Which television show's theme music composer is Gary Portnoy and subsequent work is Frasier?
RES;List the common sports between Fr. Agnel Multipurpose School  and Jamiatu Muslim Mindanao
RES;Which award that has been given to James F Obrien, had used Laemmle Theatres for some service?
RES;What is the drafted team of the people expected to join toronto marlies?
RES;Which office holder's predecessor is  Lucius Cornelius and his associate is Marcus Calpurnius Bibulus?
NUM;How many people have parterned with the person choroegraphed by Catarina Lindgren in the past?
RES;List everything governed by the Democratic Party of US?
RES;Name the current club of Abdelhameed Amarri ?
RES;The pope whose shrine is in St Peter's Basilica was venerated in which sects?
RES;Who is the father of Barbara Ann Crancer?
RES;Which home stadium of 2011-12 FC Spartak Moscow season is also the location of birth of the Svetlana Gounkina ?
RES;Which famous commander led the Siege of forn meigs and was involved in the battle of fort stephenson?
RES;Which games publishers are located in California?
RES;Where is the stadium of Philadelphia Rage ?
RES;Who produced the Pixar Image Computer?
BOOL;Was Marie Curie a doctoral student of Henri Becquerel?
RES;What are the baseball teams who belongs to  Guggenheim Partners?
NUM;Count all the things licensed as Software as a service.
RES;Who is the headcoach of 2014-15 Virginia Tech Hokies men's basketball team ?
RES;What is the resting place of the politician who succeeded Samuel Hayes?
RES;What country had the title of 2001 Speedway Ekstraliga ?
NUM;How many broadcast area of the television stations exists whose broadcast area is Rodrigues ?
RES;What is the common governing body of the Naval Air Facility Adak and Oahu Railway and Land Company?
NUM;Count the drinks originated in England.
NUM;What is the total number of other non-fiction subject of the books whose one of the subject is Racism?
RES;Name all the junctions of U.S. Route 59?
RES;What are some other services of the company whose service is Onedrive?
RES;Give me some softwares which run on mac os
RES;What is the city  of the television station whose affiliations is LATV?
RES;What is the state of the administrative region where Oscoda, Michigan is located?
BOOL;Was Duanne Allman famous for playing the Gibson SG?
RES;Who were all the people in office when bob hawke was the PM?
RES;What is Bob Adams (American football) known for?
BOOL;Is Guatemala a unitary state?
RES;Who owns Chelsea F.C.?
RES;What is the common affiliation of the Monroe Carell Jr. Children's Hospital at Vanderbilt and alma mater of the Duncan U. Fletcher?
RES;Among the scientist known for Manhattan Project who had a doctoral student named Charles Ellis ?
RES;UEM group have made bridges crossing over what?
NUM;How many relatives are there of the people who died in Germany?
RES;Where do bachelor of arts live?
BOOL;Was Castillo discovered by Galileo?
BOOL;Does A foreign policy of freedom belong to the genre Politics?
NUM;How many mountain are there in Sierra Nevada range?
NUM;What is the total number of other characters of the plays whose characters is Robin (comics)?
RES;What are the awards won by the spouse of Liv Ullmann ?
RES;What is the Recorded of the Kaptaan is also the headquarters of the Orient News ?
NUM;What is the total number of other nearest countries to the lakes whose nearest countries is Uganda?
NUM;How many companies have developed cross platformed softwares?
RES;List the shows whose network is run by BBC.
NUM;How many titles were given to people who engaged in the Operation Dragoon?
RES;Which place founded by Penobscot Island Air is also the location fo Ellei Johndro ?
RES;Name the TV show whose opening theme is Gary Portnoy and the subsequent work is Frasier?
RES;List the pole drivers in the grand prixes where Williams Grand Prix Engineering was a first team?
RES;Which appointer of the Joseph Clay (Georgia) is also the  President of the William Carmichael (diplomat) ?
RES;Who is the employer of Michael M. Sears ?
RES;List things developed by Autoconf ?
RES;List all the artist of the TV shows which has McClain as one of the artist ?
RES;Who is the person whose child performed with Tony Bennett?
BOOL;Does the north carolina highway 280 end in Arden?
BOOL;Is Angola Avante the anthem of Angola?
RES;Name the river with mouth as Thames Estuary and passes through Reading Berkshire ?
RES;Who all play for the Ivory Coast football team?
RES;List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?
NUM;To how many places does the airlines fly, whose head office is located at the Gatwick Airport?
RES;What are the television shows whose distributor is a division of Warner Bros. International TV?
RES;Where is the arena of WPC Dynamo Moscow situated?
RES;Which relative of George Madison is the appointer of John Drayton ?
BOOL;Does the mississippi orignate in the clearwater county, minnesota?
NUM; How many scientist have won an award by the society led by Venkatraman Ramakrishnan?
RES;Who all did their high school in Denbigh high School?
RES;Name the company founded in US and provides OneDrive as service ?
RES;Which manufacturer of the Boeing B-17 Flying fortress is the manager of burro Flats Painted Caves ?
RES;Which owner of Drop.io made Sean Parker famous?
RES;What is the information appliance whose successor is PlayStation 4 and maker is Foxconn?
RES;What country provides a citizenship too Newin Chidchob and Seni Pramoj?
RES;Which  person has opponent Ike Clanton?
RES;Who is the builder of Atamurat-Kerkichi Bridge ?
RES;name the mountain range of Le Gibloux ?
NUM;Count me all the video game distributor whose parent company is Warner Bros ?
RES;Who all were involved in the wars fought by the commander Blue Jacket?
BOOL;Is Judy Garland a character of End of the Rainbow?
RES;Who is the associate of Thomas Bryan Martin ?
RES;In what wars was Steve Buyer involved?
RES;What is the profession of the children of Herbert Pell ?
BOOL;Does Silver Airways have a hub at the Washington Dulles International Airport?
RES;Whose labels are Victor Entertainment and Celluloid Records?
RES;Which astronauts went on the Gemini 8 mission?
RES; Erik Jendresen is the writer of which television show?
RES;Where is the station whose sister channel is the Channel 3 in Thailand?
NUM;How many people have written stuff broadcasted on the Tokyo Broadcasting System?
RES;What is the mascot of the military unit whose commander is Herbert Bautista ?
RES;Which city is the resting place of the Martin Ragaway and Chuck Connors ?
RES;Which new Mexico based company produces Surface ?
RES;Who is the person who are on the board of Freedom of the City?
RES;What cities are around the sea which flows into Marmara?
RES;Companies headquartered in Geneva own which TV Shows?
RES;Who died due to Morphine ?
BOOL;Does Walt Disney Studio have a subsidiary called PixarCascadia_
RES;Which purpose of the Maharashtra Chess Association is Abhijit kunte is also know for ?
RES;What does the famous relative of Levon Ashotovich Grigorian do for a living?
RES;Where is the debut team of Shaquil Barrett located?
RES;Who owns Ivanpah Solar Power Facility?
RES;What artist of Charing Cross Bridge influenced Dorothea Sharp in her career?
RES;What is the game whose genre is Mind sport?
RES;List the awards given to the race horses bred by Willis Sharpe Kilmer.
RES;Which country's engineered have studied at Aero Klub in Wroclaw?
RES;What is the common place where USS Camp DE-251 was built, and is one of the destinations of Emerald Air?
RES;List the religions of the commanders of Royal Thai Army.
RES;What is the official name of Arkansas wine ?
RES;Which country is the birth place of Marcus Samuelsson and Samuel of Waldebba ?
RES;Name the battle fought by the military persons who also fought in Algeria ?
RES;Where is the head quarters of the parent company of Mall of America located?
RES;Bridge that starts at Seberang Perai crosses over what?
BOOL;Is Julia Gillard the prime minister of Kate Lundy?
RES;Comcast SportsNet is broadcasted in what area, which also has the Michigan Renaissance Festival?
RES;what cities are located on the sides of mediterranean sea?
RES;What is the purpose of some Maharashtran organizations?
NUM;In how many  territories were the wars fought where Fusil Gras Mile 1874 were used?
RES;Mota Engil built bridges over which rivers?
NUM;How many other field are there of the scientists whose one of the field is Mathematics ?
RES;Twin cities 400 is operated by what city, which is the birthplace of Leona Baumgarter?
NUM;How many people currently play for the NYC FC?
NUM;In how many other states do people live, whose languages are spoken in Nebraska?
RES;Name the alma mater of Michael hahn ?
RES;What is the mascot of the unit whose garrison is Canberra ?
RES;List the governers of Jimmie Lou Fisher?
NUM;How many people have played for a club whose coach is Fred Hoiberg?
RES;Who discovered Callisto ?
RES;which politician is currently ruling over Rishkiesh?
RES;Where is Carmel Winery?
BOOL;Does the little colorado river flow in the Grand Canyon?
RES;Name the architect of Marine Corps Air Station Kaneohe Bay ?
NUM;How many different organizations own the railway lines which are a part of Norfolk Southern Railway?
RES;Name the parts of the settlements which has New Braunfels as one of the parts ?
RES;Which shows had their painters born in England?
RES;Which mountain is located in inyo National Forest and has a parent peak named Nevado de Toluca ?
RES;Which awards have been given to both Ingmar Bergman and Charles LeMaire?
RES;Which office holder's resting place is William Henry Harrison Tomb State Memorial and has governor named Charles Willing Byrd?
RES;Where was the movie after Khiladi 786 recorded?
RES;Who are the politicians whose death place is Ontario?
RES;Which statesman is married to Dolley Madison?
NUM;How many theme musics have been composed by Julian Gingell?
RES;Name the monarch of L Buwei ?
RES;Name the musician who was given label by Celluloid Records and has been associated with Africa'70 ?
RES;What is the stylistic origin of Wizard rock ?
RES;List the fields of the scientists with Sanskrit as one of the interest ?
RES;Of all the teams that Andrew Economos played for, which one did Jerrel Jackson play his first game for?
RES;What are the movies whose director's daughter is Luke Scott?
BOOL;Is Mona Lisa in the Louvre museum?
BOOL;Was A foreign policy on freedom covered by John Trumbull?
RES;List the other members of the band of which Juelz Santana is a part?
NUM;Give me a count of everything made by the company which offers electronical manufacturing too.
NUM;How many games have been composed by Hirokazu Tanaka?
RES;Who are the tenants of the stadium where the UFC 140 is located?
RES;Which kmascot od seneca Academy is also the species of The Fox and the Cat ?
RES;Name the university whose affiliations's foundation place is Washington, D.C.?
RES;What  awards did the cast members of Gods of Egypt win?
RES;Where can I find people whose hometown is Ann Arbour in Michigan?
RES;What is the former team of the Athens borned basketball players ?
RES;In which city is the hub airport of Club One Air?
RES;Where did the relatives of Gustavo Rojas Pinilla study?
NUM;For how many things are americans famous for?
RES;Who is the successor of McDonnell Douglas ?
RES;What is the publisher of Lucifer's Hammer ?
RES;List the origin of the weapons which were used in the American Revolutionary War.
RES;Purnima Banerjee and Rishang Keishing are politicians of what party ?
RES;Which show's theme music composer's label is MapleMusic Recordings?
BOOL;Was Apollo 11 a mission of Niel Armstrong?
RES;List the former team of the american football players born in Pennsylvania ?
BOOL;Is the charat district a district in peru?
RES;Which company founded by Fusajiro Yamauchi gives service as Nintendo Network?
RES;Richard Gant did a guest appearance on which series?
NUM;How many things belong to a division of plant kingdom?
RES;What is that show whose theme was composed by Joel Goodman?
BOOL;Is the College Sainte Marie in Mauritius?
RES;What is the field of the Jon Speelman and occupation of the Karen Grigorian?
RES;What are the countries for which History of Trier principal to?
RES;List the uni. having affiliation with Graham Holding Company and have a campus in Iowa ?
RES;Where was Antonio Giannini born?
RES;What movies have been produced by the production house owned by Larry J. Franco?
RES;Give me all tv shows which are based in boston and massachusetts?
RES;What is the death location of the scientist who is the known authority of Hallopus ?
BOOL;CN Atletic-Barceloneta has a stadium in Barcelona?
RES;What are some non fiction subjects dealt with in fantasy novels?
RES;Which companies have launched a rocket from Cape Canaveral Air Force station?
BOOL;Is the Frank R Lillie House has the Chicago architecture?
RES;Name everyone working for a company owned by Roman Abramovich.
RES; Who astronaut from NASA was on the mission of Apollo 11?
RES;Name the profession of Oamr D Conger for which Jack Ryan was also nominated ?
RES;Where were Micheal Santos and Wendy Jaquet born?
RES;Name the show formed by J. Michael Stroczynski and had network as TNT ?
RES;Which office holder's resting place is Alta Mesa Memorial park and has adrian A. Basora as successor ?
RES;Name the movie written by Monty Python and has music composer as Geoffrey Burgon ?
RES;Which politicians died in cities built by the Roman emperor Charles 5?
NUM;In how many different places can I find companies which were founded in toronto?
RES;What are some relatives of the spouse of Uncle henry from Oz?
RES;List the outflows of the lake which has Benu river as one of it ?
RES;List the people who were the first one to climb a mountain in California?
RES;Ford Air Transport Service and Falcon cobra are both owned by which company?
RES;Name the sitcom with theme music composer as Julian Gingell and channel as Fox Broadcasting Company?
RES;Give a list of all the labels that have jazz fusion artists signed up with them?
RES;Which college has been attended  by both Mr. Hubert Wiggs and Mr. Alvin Bell?
RES;What is the mascot of Blytheville High School ?
RES;Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee?
RES;What is the subject of the book which preceded Sagan's Cosmos?
RES;In which television shows has Eliza Schneider given her voice?
RES;Who wrote Catch My soul ?
RES;What are some islands in the bahamas?
RES;In which state does the ambassador who is in related with J Bennett Johnston live?
RES;Where were the sportsmen born, who started their careers with Homestead Grays?
RES;Which hometown of pavel Moroz is also the palace of birthplace of Helena of Moscow ?
RES;Who are the cast members of The Simpsons Ride?
RES;Name the organization which developed iPhone OS and the XNU?
NUM;How many awards have the french people received?
NUM;How many bacterias have taxonomy as Bacillales and domain as Bacteria? 
RES;Which state's largest city is Omaha?
RES;Where is the constituency of John Smith Griffin ?
BOOL;Is Wahoo! the previous work of Honeybuns?
RES;Who is the animator of Tommy Tucker's Tooth ?
RES;Who is the film director of Alice's Wonderland ?
RES;List few authors whose education took place in Saint Petersburg ?   
RES;Who are the people who influenced the writers of Evenor ?
RES;Which cities of the American Mediterranean Sea has Nickname Entronque de Herradura?
NUM;On how many subjects has Random house publishers published books?
RES;List the associated musical artist of the current members of Al Bano and Romina Power?
RES;Which settlement's neighboring municipalities are Cologny and Pregny-Chambsy?
RES;Who is the writer of The Sandman (Vertigo) ?
RES;Who has a  child named Lori Black and is resting place as Palo Alto, California?
RES;Which military unit's  garrison is Pentagon and command structure is United States Department of Defense?
RES;List the primary  subjects of A Christian Turn'd Turk?
RES;What awards have been given to the writers of Wallace and Gromit?
BOOL;Is Labor relations the main interest of Karl Marx?
RES;Over which rivers, does a cable stayed bridge exists?
RES;Name some Texas based companies ?
RES;Name the president served by a lieutenant who succeeded Bob C Riley.
RES;Who were some governmental heads in Nazi Germany?
RES;Name the tiemzone of Banlung ?
RES;Name all the doctoral student of the scientist who also supervised Mary Ainsworth ?
RES;Where did the wrestler die who was billed in Norman, Oklahoma?
RES;Which football teams is Shahid Khan proprietor to?
RES;What sports are there at the universities affiliated to the National Capital Region Athletic Association?
RES;Who all have rented the stadium whose architect is Populous?
RES;Which US city can be said to be a part of american mediterranean sea and the biscayne bay?
BOOL;Did Dean Wurzberger manage a club at the santa clara university?
NUM;How many dishes are made with an ingredient belonging to the flowering plant species?
RES;Who are the managers of clubs participating in the 2014-2015 Football League Championship?
RES;Bridges over which rivers are made of Wrought Iron?
RES;What is the allegiance of Albert Kwesi Ocran ?
NUM;How many people have headed organizations headquartered at Niederkirchnerstrae?
RES;What are some seas inside europe ?
RES;What are the notable works of the person who produced Queer as Folk?
RES;Who was the bronze medalist of Swimming at the 2008 Summer Olympics  Men's 400 metre individual medley ?
BOOL;Did stan lee narrate the incredible hulk tv show?
RES;What academic discipline of the Journal of Cerebral Blood Flow & Metabolism is also the record label of the Double Diamond (album)?
NUM;How many states does the Pioneer corporation operate in?
RES;Name the debut team of Butch Metzger ?
RES;Whose doctoral student is etienne bieler\xc9tienne_Bi\xe9ler
RES;What countries used Solidus as currency?
RES;Which parent company of  Edsel was the first team of the 1967 Mexican Grand Prix ?
RES;Who was in conflicts of Fort Barrancas and Gadsden?
RES;Name some cars similar to the ones which are assembled at the Jefferson North Assembly?
RES;Which licensee of the WRVU is also the alma mater of the Todd J. Campbell ?
RES;What team did Joe Porter and Eddie Anderson play for?
RES;Which borough of the Corringham railway station is also the local authority of Buckhurst Hill County High School ?
RES;Which band had the members of The Conglomerate, and has made 'Before I let you go'?
RES;Name the fictional character whose species is American Pekin duck and has relatives named Ludwig Von Drake?
RES;Who is the governor of Carl McCall ?
RES;Where can I find things run by the maritime museum of San Diego?
RES;Which engine's successor's predecessor is BMW M10?
RES;List the movies directed by Stanley Kubrick?
RES;What team were the people drafted to, which are in the National Hockey League?
RES;Which key person of maryland jockey club is the appointer of Joseph Clay ?
RES;Who developed the software for the operating system of Macintosh Quadra 660AV ?
RES;From what american football teams did Carlos Emmons play?
RES;Who are the employer of Don R. Berlin?
BOOL;Is Peter Crouch currently in the Stoke City FC?
RES;Whose provides the service of  Outlook and also products  such as Visual Studio?
RES;Which source of broad creek is the Audenried tunnel located ?
BOOL;Is the Mount St Peter Church made in the international architectural style?
RES;What woman acted in the mating habits of earthbound humans and is often associated with Mams taylor?
